YEAR,LOCATION,SEASON_DAYS,STATE ANSI,ASD CODE,COUNTY ANSI,REFERENCE PERIOD,COMMODITY,WEEK ENDING,PROGRESS in PCT PLANTED,"PROGRESS, 5 YEAR AVG in PCT PLANTED","PROGRESS, PREVIOUS YEAR in PCT PLANTED",PROGRESS in PCT EMERGED,"PROGRESS, 5 YEAR AVG in PCT EMERGED","PROGRESS, PREVIOUS YEAR in PCT EMERGED",PROGRESS in PCT BLOOMING,"PROGRESS, 5 YEAR AVG in PCT BLOOMING","PROGRESS, PREVIOUS YEAR in PCT BLOOMING",PROGRESS in PCT SETTING PODS,"PROGRESS, 5 YEAR AVG in PCT SETTING PODS","PROGRESS, PREVIOUS YEAR in PCT SETTING PODS",PROGRESS in PCT DROPPING LEAVES,"PROGRESS, 5 YEAR AVG in PCT DROPPING LEAVES","PROGRESS, PREVIOUS YEAR in PCT DROPPING LEAVES",PROGRESS in PCT HARVESTED,"PROGRESS, 5 YEAR AVG in PCT HARVESTED","PROGRESS, PREVIOUS YEAR in PCT HARVESTED"
2014,NORTH CAROLINA,14,37, , ,WEEK #17,SOYBEANS,4/27/14,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,21,37, , ,WEEK #18,SOYBEANS,5/4/14,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,28,37, , ,WEEK #19,SOYBEANS,5/11/14,13,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,35,37, , ,WEEK #20,SOYBEANS,5/18/14,32,24,17,18,10,5,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,42,37, , ,WEEK #21,SOYBEANS,5/25/14,43,37,27,30,21,14,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,49,37, , ,WEEK #22,SOYBEANS,6/1/14,57,49,38,44,35,24,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,56,37, , ,WEEK #23,SOYBEANS,6/8/14,66,58,45,56,45,34,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,63,37, , ,WEEK #24,SOYBEANS,6/15/14,71,69,55,63,57,45,0,0,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,70,37, , ,WEEK #25,SOYBEANS,6/22/14,81,80,66,72,68,56,0,1,0,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,77,37, , ,WEEK #26,SOYBEANS,6/29/14,81,80,66,85,80,65,5,3,2,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,84,37, , ,WEEK #27,SOYBEANS,7/6/14,97,92,77,91,88,72,18,7,2,0,0,0,0,0,0,0,0,0
2014,NORTH CAROLINA,91,37, , ,WEEK #28,SOYBEANS,7/13/14,97,92,77,95,92,76,33,15,6,13,3,2,0,0,0,0,0,0
2014,NORTH CAROLINA,98,37, , ,WEEK #29,SOYBEANS,7/20/14,97,92,77,98,95,81,46,27,14,23,7,5,0,0,0,0,0,0
2014,NORTH CAROLINA,105,37, , ,WEEK #30,SOYBEANS,7/27/14,97,92,77,98,95,81,55,41,24,29,14,9,0,0,0,0,0,0
2014,NORTH CAROLINA,112,37, , ,WEEK #31,SOYBEANS,8/3/14,97,92,77,98,95,81,63,56,40,36,25,17,0,0,0,0,0,0
2014,NORTH CAROLINA,119,37, , ,WEEK #32,SOYBEANS,8/10/14,97,92,77,98,95,81,71,68,51,46,35,27,0,0,0,0,0,0
2014,NORTH CAROLINA,126,37, , ,WEEK #33,SOYBEANS,8/17/14,97,92,77,98,95,81,80,80,66,54,52,39,0,0,0,0,0,0
2014,NORTH CAROLINA,133,37, , ,WEEK #34,SOYBEANS,8/24/14,97,92,77,98,95,81,80,80,66,69,67,52,1,0,0,0,0,0
2014,NORTH CAROLINA,140,37, , ,WEEK #35,SOYBEANS,8/31/14,97,92,77,98,95,81,89,93,83,80,81,65,4,2,0,0,0,0
2014,NORTH CAROLINA,147,37, , ,WEEK #36,SOYBEANS,9/7/14,97,92,77,98,95,81,93,97,92,80,81,65,11,5,3,0,0,0
2014,NORTH CAROLINA,154,37, , ,WEEK #37,SOYBEANS,9/14/14,97,92,77,98,95,81,97,99,93,88,95,84,16,12,6,0,0,0
2014,NORTH CAROLINA,161,37, , ,WEEK #38,SOYBEANS,9/21/14,97,92,77,98,95,81,97,99,93,93,97,87,27,20,11,1,1,0
2014,NORTH CAROLINA,168,37, , ,WEEK #39,SOYBEANS,9/28/14,97,92,77,98,95,81,97,99,93,95,98,91,34,30,21,3,2,0
2014,NORTH CAROLINA,175,37, , ,WEEK #40,SOYBEANS,10/5/14,97,92,77,98,95,81,97,99,93,95,98,91,46,42,21,6,3,0
2014,NORTH CAROLINA,182,37, , ,WEEK #41,SOYBEANS,10/12/14,97,92,77,98,95,81,97,99,93,95,98,91,60,58,21,11,7,0
2014,NORTH CAROLINA,189,37, , ,WEEK #42,SOYBEANS,10/19/14,97,92,77,98,95,81,97,99,93,95,98,91,75,72,67,16,12,7
2014,NORTH CAROLINA,196,37, , ,WEEK #43,SOYBEANS,10/26/14,97,92,77,98,95,81,97,99,93,95,98,91,85,84,84,21,19,10
2014,NORTH CAROLINA,203,37, , ,WEEK #44,SOYBEANS,11/2/14,97,92,77,98,95,81,97,99,93,95,98,91,93,94,93,30,26,18
2014,NORTH CAROLINA,210,37, , ,WEEK #45,SOYBEANS,11/9/14,97,92,77,98,95,81,97,99,93,95,98,91,96,97,97,41,37,28
2014,NORTH CAROLINA,217,37, , ,WEEK #46,SOYBEANS,11/16/14,97,92,77,98,95,81,97,99,93,95,98,91,96,97,97,53,50,47
2014,NORTH CAROLINA,224,37, , ,WEEK #47,SOYBEANS,11/23/14,97,92,77,98,95,81,97,99,93,95,98,91,96,97,97,66,64,68
2014,NORTH CAROLINA,231,37, , ,WEEK #48,SOYBEANS,11/30/14,97,92,77,98,95,81,97,99,93,95,98,91,96,97,97,76,73,79
